Zip Code,1 under 25K,25K under 50K,50K under 75K,75K under 100K,100K under 200K,200K or more
92081,56624.0,109062.0,122609.0,107669.0,231158.0,104135.0
92082,37874.0,63152.0,68972.0,66448.0,180649.0,120942.0
92083,105269.0,156042.0,99728.0,70803.0,88811.0,14752.0
92084,115812.0,182030.0,137698.0,118348.0,245564.0,140647.0
92086,3259.0,5575.0,4424.0,4261.0,8618.0,
92091,1397.0,2193.0,3804.0,2946.0,13055.0,135687.0
92101,73220.0,158520.0,172214.0,159865.0,329293.0,503496.0
92102,132307.0,193971.0,111810.0,54133.0,68127.0,29205.0
92103,72556.0,188829.0,195390.0,153162.0,302860.0,528936.0
92104,127238.0,269872.0,198947.0,134652.0,218110.0,92766.0
92105,202558.0,256896.0,143511.0,71565.0,62948.0,12833.0
92106,31201.0,70316.0,75350.0,67846.0,226496.0,414180.0
92107,68287.0,146052.0,131803.0,108905.0,222015.0,280339.0
92108,42881.0,120419.0,125658.0,98352.0,149925.0,87528.0
92109,112601.0,266228.0,254675.0,180329.0,317856.0,340193.0
92110,54042.0,118762.0,111544.0,92364.0,184758.0,132194.0
92111,108809.0,203927.0,188319.0,152188.0,259866.0,97610.0
92113,155838.0,182368.0,75354.0,25980.0,31631.0,
92114,163791.0,292118.0,237814.0,176820.0,201742.0,16808.0
92115,139765.0,226142.0,176024.0,138175.0,221550.0,134137.0
92116,84432.0,206252.0,170752.0,117219.0,202781.0,132545.0
92117,118271.0,238630.0,239640.0,219016.0,403329.0,197830.0
92118,24191.0,57081.0,66098.0,75967.0,207732.0,384177.0
92119,41150.0,94631.0,118274.0,121010.0,258172.0,89215.0
92120,48492.0,109093.0,128711.0,133161.0,315222.0,221382.0
92121,6762.0,14668.0,17485.0,22371.0,73147.0,162083.0
92122,62231.0,147076.0,179235.0,201996.0,442851.0,389666.0
92123,54983.0,135273.0,132972.0,118174.0,209346.0,140551.0
92124,42378.0,122880.0,128320.0,124224.0,294218.0,172522.0
92126,135712.0,302021.0,337581.0,329191.0,587866.0,140441.0
92127,39175.0,83977.0,115075.0,153327.0,610815.0,885569.0
92128,62973.0,152003.0,226224.0,248682.0,703968.0,442671.0
92129,71772.0,139991.0,173891.0,209821.0,807736.0,507521.0
92130,43501.0,94542.0,127342.0,160735.0,736509.0,2133135.0
92131,33935.0,74265.0,112015.0,151684.0,634256.0,785531.0
92139,80478.0,175815.0,151566.0,108001.0,135353.0,13876.0
92154,220868.0,376451.0,294785.0,206607.0,263872.0,83075.0
92173,160395.0,191491.0,94630.0,44340.0,40668.0,
92201,167602.0,204241.0,134437.0,106049.0,141703.0,51795.0
92203,44164.0,81635.0,96540.0,94287.0,180190.0,98112.0
92210,5747.0,10728.0,12180.0,15469.0,51257.0,282271.0
92211,45313.0,87716.0,102556.0,110753.0,219725.0,164156.0
92220,76849.0,115314.0,95337.0,69878.0,82059.0,120381.0
92223,78744.0,143991.0,189577.0,188738.0,297322.0,65640.0
92225,32468.0,47063.0,40708.0,38113.0,48597.0,9394.0
92227,58798.0,83366.0,71828.0,58679.0,90884.0,65931.0
92230,7068.0,8783.0,5397.0,5181.0,,
92231,203324.0,176620.0,92437.0,56357.0,60759.0,20722.0
92233,8494.0,12767.0,10085.0,6983.0,13371.0,
92234,143910.0,185735.0,129960.0,88985.0,138842.0,52385.0
92236,155363.0,216714.0,65480.0,26730.0,27248.0,
92240,108614.0,119114.0,67363.0,38192.0,44701.0,11249.0
92241,18072.0,20491.0,13786.0,10635.0,16370.0,
92242,3053.0,4128.0,3036.0,4925.0,,
92243,120574.0,150742.0,116160.0,97569.0,160858.0,77942.0
92249,20365.0,27354.0,23422.0,16080.0,11354.0,
92250,20022.0,32450.0,21765.0,18677.0,27646.0,23074.0
92251,28306.0,54944.0,68167.0,76905.0,117440.0,15282.0
92252,22177.0,31654.0,26326.0,18137.0,28697.0,
92253,65264.0,113738.0,123176.0,118737.0,301861.0,390864.0
92254,80919.0,102625.0,8863.0,4055.0,,
92256,8868.0,12701.0,13431.0,8100.0,15294.0,
92257,4352.0,5123.0,6698.0,,,
92260,72405.0,113127.0,100297.0,87429.0,162958.0,207279.0
92262,71838.0,102032.0,85455.0,63479.0,119095.0,116256.0
92264,50057.0,77564.0,69845.0,50616.0,107304.0,130524.0
92270,29381.0,50702.0,63067.0,60614.0,175681.0,430726.0
92274,81706.0,132979.0,16795.0,8328.0,15443.0,
92276,20517.0,29758.0,21104.0,11533.0,17433.0,
92277,55999.0,93010.0,66845.0,47985.0,59366.0,9721.0
92281,7232.0,7927.0,5643.0,2757.0,6596.0,
92282,2082.0,3102.0,5132.0,,,
92283,8677.0,12517.0,6466.0,3184.0,3587.0,
92284,52113.0,79435.0,72968.0,56066.0,77616.0,18237.0
92285,4818.0,5408.0,4749.0,4455.0,,
92301,80017.0,100464.0,68294.0,36713.0,28645.0,
92305,1140.0,2289.0,2493.0,2521.0,5425.0,
92307,80771.0,120955.0,132458.0,120646.0,207542.0,72613.0
92308,83297.0,121985.0,120694.0,94859.0,164089.0,60275.0
92309,2676.0,2825.0,2509.0,,,0.0
92310,15151.0,44958.0,22355.0,11953.0,12493.0,
92311,65505.0,101384.0,107211.0,77880.0,91444.0,15722.0
92313,23594.0,49131.0,59585.0,50232.0,79196.0,19531.0
92314,19895.0,27351.0,27362.0,19779.0,35421.0,12354.0
92315,19810.0,27517.0,26106.0,22690.0,45717.0,28208.0
92316,84849.0,121713.0,84160.0,43561.0,41254.0,6931.0
92320,17465.0,29279.0,33134.0,28571.0,39854.0,11514.0
92324,153391.0,236904.0,157251.0,100528.0,117193.0,46314.0
92327,1153.0,2322.0,5510.0,,,
92328,1604.0,2647.0,3269.0,,,0.0
92335,275758.0,377230.0,212279.0,99867.0,72170.0,14392.0
92336,172934.0,300071.0,341060.0,335109.0,557591.0,82223.0
92337,78175.0,156315.0,156115.0,115662.0,111371.0,40342.0
92339,1732.0,3344.0,4399.0,4492.0,11995.0,
92342,11246.0,20637.0,28742.0,27447.0,43847.0,11142.0
92344,34898.0,69763.0,78200.0,66994.0,106036.0,36265.0
92345,179890.0,252776.0,228509.0,160141.0,174442.0,24487.0
92346,120463.0,176926.0,181920.0,178348.0,363232.0,256365.0
92347,2992.0,4167.0,4780.0,2897.0,3283.0,
92354,41584.0,77577.0,83741.0,65666.0,150143.0,101568.0
92356,12737.0,17011.0,14988.0,8356.0,10324.0,
92358,1780.0,3114.0,2665.0,2656.0,3915.0,0.0
92359,17789.0,32768.0,32009.0,28220.0,40306.0,7337.0
92363,12553.0,14380.0,11930.0,11197.0,23218.0,
92365,4350.0,6169.0,5845.0,5423.0,6766.0,
92368,2204.0,2126.0,5804.0,,,
92371,19255.0,29590.0,31058.0,23261.0,33673.0,6501.0
92372,9211.0,14131.0,19534.0,16295.0,32471.0,
92373,56782.0,114286.0,138385.0,135451.0,347325.0,424577.0
92374,84335.0,131081.0,146573.0,133230.0,255568.0,136326.0
92376,219415.0,327037.0,219704.0,114336.0,86611.0,11258.0
92377,48345.0,84615.0,98093.0,82619.0,97688.0,18436.0
92392,116950.0,180722.0,186050.0,143190.0,180625.0,20641.0
92394,67713.0,99037.0,93796.0,63377.0,65191.0,8752.0
92395,100503.0,129878.0,114317.0,82695.0,108819.0,283919.0
92397,8589.0,17233.0,23610.0,25381.0,49862.0,18690.0
92399,101585.0,164333.0,186849.0,180040.0,388474.0,181056.0
92401,7466.0,3987.0,4391.0,,,
92404,160716.0,196281.0,131043.0,86163.0,98408.0,40902.0
92405,81177.0,106130.0,65538.0,37602.0,42777.0,
92407,125583.0,195206.0,167892.0,134587.0,178682.0,31696.0
92408,38174.0,44577.0,26645.0,16881.0,18671.0,11407.0
92410,147760.0,141039.0,63662.0,25841.0,17140.0,
92411,81667.0,86129.0,36341.0,11819.0,9216.0,
92501,51885.0,78565.0,65064.0,38871.0,48915.0,38575.0
92503,199367.0,313688.0,269115.0,210175.0,349352.0,121499.0
92504,124808.0,206599.0,172580.0,123615.0,195863.0,103031.0
92505,113045.0,182374.0,148200.0,105472.0,141418.0,29675.0
92506,78124.0,149371.0,168012.0,174695.0,445927.0,455745.0
92507,128855.0,173095.0,126752.0,90557.0,139060.0,56281.0
92508,51239.0,90757.0,118742.0,146453.0,361767.0,104541.0
92509,186859.0,277396.0,207335.0,152868.0,199808.0,36504.0
92518,1528.0,4048.0,7261.0,9304.0,20722.0,
92530,109496.0,168102.0,151024.0,114067.0,153529.0,25010.0
92532,27880.0,56048.0,76652.0,75107.0,127498.0,23428.0
92536,7260.0,12856.0,12606.0,11779.0,23015.0,
92539,9340.0,14027.0,12338.0,9073.0,11798.0,
92543,85264.0,102625.0,61250.0,31837.0,35247.0,18161.0
92544,97609.0,140577.0,131550.0,107098.0,166318.0,76903.0
92545,86045.0,144413.0,136239.0,101253.0,119187.0,27093.0
92548,16334.0,20892.0,14453.0,7472.0,10749.0,
92551,73106.0,122016.0,102259.0,64012.0,59934.0,6344.0
92553,189585.0,276719.0,179154.0,97609.0,85988.0,7363.0
92555,68618.0,133769.0,152034.0,138768.0,211887.0,35756.0
92557,110986.0,193218.0,182007.0,143257.0,221939.0,35912.0
92561,2252.0,3767.0,4593.0,4551.0,12327.0,7678.0
92562,105694.0,180738.0,213281.0,234530.0,552735.0,404242.0
92563,90610.0,184123.0,222545.0,243844.0,428132.0,91883.0
92567,19143.0,33022.0,29615.0,25332.0,34405.0,10068.0
92570,135072.0,157855.0,103559.0,67585.0,98690.0,39174.0
92571,117896.0,203446.0,163563.0,93878.0,75602.0,
92582,29130.0,52687.0,58243.0,43107.0,41243.0,6427.0
92583,70949.0,95815.0,71703.0,51187.0,53617.0,11932.0
92584,64758.0,133272.0,171285.0,170303.0,270332.0,47751.0
92585,37429.0,66792.0,75871.0,63096.0,85326.0,11987.0
92586,54082.0,90368.0,77089.0,60953.0,58197.0,12265.0
92587,30352.0,48989.0,60303.0,65414.0,136229.0,62403.0
92590,10016.0,13523.0,10881.0,7934.0,25639.0,74169.0
92591,70279.0,133055.0,141294.0,146581.0,311843.0,140817.0
92592,100942.0,195329.0,263404.0,315023.0,732675.0,465287.0
92595,62692.0,108190.0,117988.0,104915.0,175000.0,39717.0
92596,33379.0,69871.0,94659.0,97600.0,170426.0,35230.0
92602,25199.0,58371.0,83047.0,99076.0,298938.0,323061.0
92603,19954.0,43461.0,61049.0,68623.0,262498.0,1420409.0
92604,44043.0,85312.0,103666.0,117865.0,320759.0,252670.0
92606,30499.0,61963.0,74858.0,81800.0,247927.0,238588.0
92610,11652.0,24671.0,40419.0,47596.0,188671.0,143426.0
92612,38593.0,75123.0,96301.0,100758.0,253884.0,424659.0
92614,37134.0,78379.0,107225.0,108705.0,288778.0,566210.0
92617,18113.0,21589.0,16570.0,18898.0,64271.0,144018.0
92618,22315.0,59264.0,91276.0,100279.0,268076.0,420384.0
92620,53804.0,104029.0,138966.0,157904.0,535721.0,796091.0
92624,16081.0,27550.0,29300.0,26452.0,70949.0,104341.0
92625,17281.0,37193.0,49223.0,50728.0,174762.0,1276402.0
92626,102534.0,206278.0,209815.0,189640.0,418799.0,350315.0
92627,162394.0,269017.0,216446.0,165609.0,313531.0,249682.0
92629,51207.0,104245.0,111349.0,115687.0,320149.0,675564.0
92630,120532.0,227080.0,248983.0,247524.0,619158.0,378906.0
92637,49773.0,84556.0,93607.0,70426.0,100744.0,47360.0
92646,96530.0,192003.0,239137.0,268862.0,751538.0,502439.0
92647,124536.0,215125.0,223011.0,205851.0,519762.0,248003.0
92648,82227.0,166665.0,203631.0,191503.0,509188.0,1139302.0
92649,55860.0,120610.0,153377.0,158691.0,438765.0,687979.0
92651,37243.0,74264.0,88561.0,93865.0,299669.0,2370612.0
92653,57481.0,105191.0,114315.0,115743.0,313347.0,701717.0
92655,23479.0,30404.0,21727.0,14732.0,17620.0,
92656,67295.0,158036.0,227253.0,257457.0,667671.0,530168.0
92657,9493.0,16649.0,22923.0,28902.0,113293.0,1789232.0
92660,46645.0,93722.0,124900.0,130625.0,413700.0,2825735.0
92661,6843.0,15460.0,17470.0,14375.0,36351.0,230990.0
92662,4599.0,11056.0,12854.0,12006.0,37777.0,112331.0
92663,40209.0,86580.0,99634.0,84081.0,214704.0,871120.0
92672,79148.0,144833.0,139623.0,129135.0,336333.0,469994.0
92673,35186.0,62262.0,77452.0,98634.0,450804.0,783927.0
92675,77772.0,117547.0,106722.0,102670.0,259793.0,838677.0
92676,3194.0,6902.0,7185.0,9305.0,21238.0,25943.0
92677,100296.0,194383.0,230322.0,249626.0,811901.0,1576843.0
92679,34287.0,54392.0,78835.0,104601.0,488719.0,1498573.0
92683,229562.0,338732.0,298335.0,236357.0,457562.0,154642.0
92688,61958.0,133923.0,170661.0,198240.0,628954.0,373062.0
92691,83213.0,155746.0,194136.0,219789.0,595613.0,306786.0
92692,74568.0,135229.0,178383.0,198325.0,687153.0,694839.0
92694,17634.0,40930.0,59100.0,80056.0,361139.0,569163.0
92701,165627.0,193430.0,83853.0,38384.0,39858.0,23505.0
92703,205993.0,256540.0,124241.0,56790.0,40138.0,13368.0
92704,273806.0,388569.0,237806.0,138512.0,148499.0,64011.0
92705,92125.0,152478.0,137506.0,129322.0,405835.0,1061167.0
92706,97128.0,144626.0,98371.0,77650.0,143422.0,104408.0
92707,192728.0,289819.0,168474.0,87033.0,95952.0,50911.0
92708,107788.0,194593.0,222121.0,232973.0,612115.0,379098.0
92780,133969.0,249523.0,209392.0,158382.0,299553.0,166009.0
92782,28251.0,68886.0,100046.0,109645.0,338528.0,575620.0
92801,189650.0,279094.0,180547.0,119421.0,136800.0,44626.0
92802,114675.0,171684.0,117691.0,79577.0,106915.0,52283.0
92804,219933.0,337148.0,261796.0,188439.0,249793.0,49863.0
92805,198832.0,289969.0,187054.0,117555.0,131154.0,120201.0
92806,94214.0,167018.0,142890.0,113163.0,178393.0,91284.0
92807,60498.0,120778.0,147287.0,168750.0,469451.0,490070.0
92808,23932.0,50632.0,76329.0,95225.0,307418.0,300471.0
92821,66595.0,132212.0,149935.0,161264.0,409043.0,200285.0
92823,5225.0,8269.0,11176.0,13658.0,56267.0,40678.0
92831,73451.0,128665.0,113560.0,93566.0,219192.0,234653.0
92832,58805.0,104007.0,80502.0,62196.0,92224.0,38749.0
92833,105090.0,188247.0,180977.0,165066.0,336759.0,228128.0
92835,37959.0,78715.0,91066.0,92235.0,317128.0,422875.0
92840,137937.0,220536.0,183576.0,135287.0,179994.0,30330.0
92841,82767.0,130324.0,103447.0,78630.0,116534.0,47662.0
92843,125276.0,178550.0,123800.0,72728.0,79375.0,19185.0
92844,64539.0,92975.0,68883.0,41464.0,53554.0,13637.0
92845,27619.0,55590.0,73961.0,90386.0,217681.0,51739.0
92860,48841.0,80777.0,88087.0,97416.0,219356.0,131240.0
92861,7912.0,13525.0,15775.0,19091.0,81295.0,358139.0
92865,40194.0,76400.0,80106.0,78331.0,191448.0,60124.0
92866,38408.0,69904.0,59170.0,49394.0,88111.0,40834.0
92867,100121.0,140804.0,138473.0,141725.0,396762.0,529677.0
92868,54067.0,109748.0,94950.0,71550.0,90329.0,36686.0
92869,78681.0,125127.0,136849.0,135112.0,401456.0,472531.0
92870,111109.0,176744.0,188775.0,186797.0,520599.0,228948.0
92879,111007.0,173174.0,180997.0,144991.0,211820.0,66711.0
92880,88626.0,166738.0,210043.0,264658.0,630387.0,137544.0
92881,46787.0,76713.0,99963.0,122261.0,314954.0,181454.0
92882,139907.0,230397.0,230484.0,217414.0,464796.0,174577.0
92883,39323.0,79557.0,116752.0,137521.0,335403.0,138441.0
92886,68304.0,123788.0,160230.0,196694.0,656812.0,965428.0
92887,30241.0,49376.0,63995.0,75655.0,318677.0,500478.0
93001,80202.0,137700.0,120610.0,94539.0,180881.0,217258.0
93003,94018.0,190611.0,228148.0,215540.0,448891.0,274141.0
93004,50278.0,99840.0,119794.0,131687.0,301146.0,90790.0
93010,77841.0,148368.0,176410.0,185859.0,464043.0,438806.0
93012,49614.0,97728.0,142199.0,149765.0,468133.0,490352.0
93013,38705.0,67329.0,61372.0,55261.0,113996.0,157028.0
93015,45170.0,67363.0,53497.0,49748.0,73069.0,21351.0
93021,70184.0,113790.0,122295.0,131501.0,448141.0,365801.0
93022,12414.0,23094.0,27896.0,24644.0,54425.0,30225.0
93023,40203.0,69268.0,72974.0,67287.0,162246.0,220558.0
93030,190957.0,260280.0,160490.0,134360.0,206098.0,165781.0
93033,304604.0,527240.0,206177.0,113896.0,105588.0,21250.0
93035,56199.0,113675.0,118969.0,114601.0,227953.0,191664.0
93036,100657.0,169878.0,133561.0,109773.0,203548.0,77723.0
93041,53383.0,100759.0,80321.0,60778.0,69096.0,15790.0
93060,95279.0,147572.0,95335.0,68226.0,102217.0,84534.0
93063,96912.0,189907.0,226375.0,243074.0,629379.0,276400.0
93065,133232.0,237109.0,273419.0,301108.0,802385.0,581206.0
93066,7289.0,12412.0,11106.0,12304.0,33366.0,84963.0
93101,80786.0,147505.0,106384.0,76588.0,133050.0,242841.0
93103,45192.0,78905.0,61106.0,47072.0,110395.0,180642.0
93105,42974.0,92574.0,111712.0,105223.0,281162.0,432258.0
93108,13838.0,23365.0,30467.0,32787.0,117013.0,1008912.0
93109,18704.0,35941.0,45193.0,40706.0,110164.0,244463.0
93110,27967.0,61732.0,67520.0,56274.0,136293.0,395574.0
93111,31266.0,65983.0,77468.0,79333.0,218794.0,267890.0
93117,73681.0,134697.0,126852.0,120396.0,275352.0,222611.0
93202,10353.0,19069.0,10326.0,3804.0,5847.0,
93203,92462.0,88232.0,28241.0,9742.0,10410.0,
93204,39488.0,34249.0,15510.0,5725.0,5411.0,
93205,4653.0,5930.0,3970.0,3386.0,3619.0,
93206,6229.0,10577.0,5412.0,2883.0,8357.0,
93207,527.0,3954.0,,,,
93210,27634.0,45311.0,39561.0,34527.0,48831.0,16829.0
93212,31236.0,57017.0,30958.0,17092.0,19685.0,14679.0
93215,153506.0,155182.0,82948.0,48081.0,49918.0,34403.0
93219,38549.0,33102.0,9797.0,4806.0,,
93221,30427.0,47479.0,44874.0,36558.0,70120.0,67633.0
93223,29430.0,34525.0,14498.0,7296.0,5088.0,
93224,827.0,1344.0,3389.0,,2994.0,
93225,10576.0,17860.0,21589.0,16639.0,30440.0,
93226,349.0,5575.0,,,,0.0
93230,130229.0,233022.0,199251.0,167016.0,262996.0,136011.0
93235,14281.0,16741.0,5979.0,5988.0,,
93238,3986.0,5589.0,7408.0,5813.0,12046.0,
93239,6376.0,5854.0,3195.0,,,0.0
93240,12798.0,17772.0,16320.0,14038.0,23861.0,
93241,64947.0,59593.0,18104.0,5781.0,6315.0,
93242,9412.0,15957.0,8868.0,3906.0,11264.0,
93243,3371.0,4932.0,4978.0,4079.0,7932.0,
93244,1122.0,1690.0,2044.0,1922.0,5852.0,
93245,69801.0,146208.0,134610.0,117287.0,154788.0,48210.0
93247,51747.0,53077.0,28313.0,15555.0,23123.0,9799.0
93249,13598.0,13247.0,5434.0,,,
93250,39871.0,47477.0,19894.0,9171.0,12565.0,
93252,2666.0,4802.0,5520.0,3501.0,7016.0,
93254,1701.0,3402.0,7044.0,,,
93255,1309.0,1495.0,5040.0,,,
93256,14295.0,22790.0,5892.0,2344.0,4668.0,
93257,182531.0,228374.0,161823.0,118036.0,157512.0,69528.0
93263,48751.0,79221.0,45735.0,34255.0,35379.0,16942.0
93265,6348.0,12532.0,15885.0,15836.0,32807.0,17960.0
93266,4469.0,7452.0,4978.0,,3847.0,
93267,17626.0,21451.0,9640.0,7368.0,13168.0,
93268,32292.0,46724.0,51458.0,45027.0,68219.0,60922.0
93270,20073.0,22457.0,11326.0,7487.0,13961.0,
93271,4497.0,8874.0,10721.0,8700.0,17601.0,8677.0
93272,7312.0,19860.0,5906.0,2248.0,6558.0,
93274,147391.0,253629.0,180130.0,129462.0,175175.0,134097.0
93277,103644.0,178379.0,176610.0,152043.0,246439.0,124402.0
93280,58971.0,78589.0,45548.0,27834.0,26713.0,14606.0
93283,4164.0,5240.0,4550.0,3284.0,3017.0,0.0
93285,5667.0,7608.0,6651.0,4803.0,7845.0,
93286,24952.0,32248.0,19336.0,12550.0,12283.0,11817.0
93291,109954.0,153158.0,125176.0,114858.0,228440.0,273154.0
93292,78581.0,132885.0,127197.0,105211.0,170610.0,73692.0
93301,32278.0,37298.0,27593.0,19982.0,35246.0,62627.0
93304,132949.0,159484.0,96543.0,52636.0,44394.0,19221.0
93305,98884.0,96321.0,56054.0,34652.0,40566.0,27332.0
93306,145237.0,218109.0,197606.0,160386.0,274570.0,161037.0
93307,220412.0,255774.0,137518.0,65259.0,60747.0,26037.0
93308,103203.0,162164.0,168457.0,141187.0,231905.0,149829.0
93309,138990.0,229361.0,191676.0,142032.0,234391.0,254866.0
93311,58523.0,117842.0,161141.0,168898.0,388155.0,457069.0
93312,73282.0,145022.0,232749.0,283866.0,600529.0,255025.0
93313,85963.0,158682.0,172423.0,138074.0,178977.0,53885.0
93314,30278.0,52392.0,77658.0,102798.0,305015.0,271681.0
93401,57036.0,100581.0,103480.0,90311.0,225388.0,243127.0
93402,29812.0,55941.0,63185.0,56565.0,94819.0,42432.0
93405,34868.0,52760.0,53581.0,56610.0,114925.0,176765.0
93420,50489.0,96321.0,108920.0,114497.0,258300.0,229127.0
93422,54751.0,109256.0,123611.0,116455.0,238685.0,93192.0
93426,1793.0,4362.0,3862.0,4020.0,10743.0,
93427,11724.0,23765.0,25086.0,23813.0,52442.0,26012.0
93428,15949.0,25709.0,28750.0,24110.0,52733.0,47316.0
93430,7281.0,11994.0,12175.0,12648.0,21985.0,57852.0
93432,2460.0,5809.0,6633.0,6101.0,19531.0,
93433,30288.0,52015.0,45173.0,40879.0,57238.0,19321.0
93434,21910.0,29526.0,16088.0,8502.0,11171.0,
93436,103841.0,191894.0,183055.0,161451.0,283672.0,75076.0
93437,6639.0,15269.0,13704.0,9554.0,6665.0,
93442,23163.0,44203.0,44446.0,37664.0,62606.0,35498.0
93444,39902.0,72551.0,79306.0,73122.0,150775.0,115585.0
93445,16491.0,26092.0,18585.0,13607.0,17511.0,
93446,91018.0,150749.0,156204.0,155214.0,262069.0,241167.0
93449,14552.0,29663.0,34869.0,35366.0,82866.0,85494.0
93450,1223.0,2656.0,27964.0,,,
93451,9152.0,16165.0,14097.0,10873.0,16008.0,10493.0
93452,1327.0,3045.0,3774.0,,,
93453,6037.0,11709.0,12272.0,12450.0,23225.0,
93454,96652.0,137599.0,112390.0,83672.0,117270.0,68979.0
93455,73791.0,142189.0,175881.0,184972.0,367041.0,190178.0
93458,213090.0,204979.0,93168.0,57848.0,53190.0,10172.0
93460,11599.0,21667.0,20432.0,20989.0,62481.0,175962.0
93461,4165.0,8016.0,4894.0,8821.0,,
93463,12391.0,23512.0,26907.0,26470.0,73862.0,102780.0
93465,17683.0,30925.0,37864.0,38195.0,95481.0,81707.0
93501,10561.0,14229.0,13342.0,9308.0,11803.0,
93505,20713.0,28926.0,39444.0,28997.0,52749.0,5641.0
93510,12850.0,24821.0,28292.0,35519.0,109604.0,60595.0
93513,3588.0,7010.0,8740.0,7630.0,11505.0,
93514,26623.0,50023.0,51132.0,48784.0,88888.0,30445.0
